Lines,DTS,DTA,PH,EH,EN,BW,BL,SL,SPAD1,SPAD1_Date,SPAD2,SPAD2_Date,ST,StPu,StPi,Kinki,Prolif,NBR
B73,7/3/23,7/3/23,238,74,2,,,,,,,,N,N,N,1,1,
B73,7/8/23,7/3/23,185,70,2,,,,,,,,N,N,N,0,1,
B73,7/1/23,7/1/23,190,64,2,,,,,,,,N,N,N,0,1,
B73,7/1/23,6/28/23,191,78,1,,,,,,,,N,N,N,0,1,
B73,6/30/23,6/29/23,200,73,3,,,,,,,,N,N,N,0,1,
B73,6/27/23,6/27/23,182,62,2,,,,,,,,N,N,N,0,1,
B73,7/2/23,7/1/23,187,66,2,,,,,,,,N,N,N,0,1,
B73,7/2/23,6/27/23,192,60,2,,,,,,,,N,N,N,1,1,
B73,6/29/23,6/27/23,188,66,2,,,,,,,,N,N,N,0,1,
B73,7/3/23,6/30/23,187,70,2,,,,,,,,N,N,N,0,1,
B73,7/3/23,7/2/23,175,52,2,,,,,,,,N,N,N,1,1,
B73,7/1/23,6/28/23,197,66,2,,,,,,,,N,N,N,1,1,
B73,7/1/23,6/27/23,,,,,,,,,,,N,N,N,,,
B73,6/27/23,6/26/23,215,90,4,,,,,,,,N,N,N,0,1,
B73,6/27/23,6/26/23,231,103,3,,,,,,,,N,N,N,1,1,
B73,6/28/23,6/27/23,,,,,,,,,,,N,N,N,,,
B73,6/29/23,6/29/23,,,,,,,,,,,N,N,Y,,,
B73,7/1/23,6/28/23,177,63,2,,,,,,,,N,N,N,1,1,
B73,7/1/23,6/27/23,212,87,2,,,,,,,,N,N,N,0,1,
B73,6/27/23,6/26/23,193,57,2,,,,,,,,N,N,N,0,1,
B73,6/27/23,6/25/23,178,83,3,,,,,,,,N,N,N,1,1,
B73,6/29/23,6/28/23,217,76,3,,,,,,,,N,N,N,0,1,
B73,6/29/23,6/27/23,184,60,2,,,,,,,,N,N,N,1,1,
B73,7/1/23,6/28/23,172,77,2,,,,,,,,N,N,N,0,1,
B73,7/1/23,6/28/23,180,60,2,,,,,,,,N,N,N,0,1,
